RecordID,GivenName,MiddleInitial,Surname,StreetNumber,StreetName,StreetType,Unit,City,Province,PostalCode,EmailAddress,MobilePhone
M0001,Alex001,,Taylor001,101,Harbour,Street,,Esquimalt,BC,V8V1B3,primary0001@example.test,250-555-1001
M0002,Alex002,,Taylor002,102,Harbour,Street,,Saanich,BC,V8V2C6,primary0002@example.test,250-555-1002
M0003,Alex003,,Taylor003,103,Harbour,Street,,Langford,BC,V8V3D9,primary0003@example.test,250-555-1003
M0004,Alex004,,Taylor004,104,Harbour,Street,,Victoria,BC,V8V4E2,primary0004@example.test,250-555-1004
M0005,Alex005,,Taylor005,105,Harbour,Street,7,Esquimalt,BC,V8V5F5,primary0005@example.test,250-555-1005
M0006,Alex006,,Taylor006,106,Harbour,Street,,Saanich,BC,V8V6G8,primary0006@example.test,250-555-1006
M0007,Alex007,,Taylor007,107,Harbour,Street,,Langford,BC,V8V7H1,primary0007@example.test,250-555-1007
M0008,Alex008,,Taylor008,108,Harbour,Street,,Victoria,BC,V8V8I4,primary0008@example.test,250-555-1008
M0009,Alex009,,Taylor009,109,Harbour,Street,,Esquimalt,BC,V8V9J7,primary0009@example.test,250-555-1009
M0010,Alex010,,Taylor010,110,Harbour,Street,,Saanich,BC,V8V0K0,primary0010@example.test,250-555-1010
M0011,Alex011,,Taylor011,111,Harbour,Street,,Langford,BC,V8V1L3,primary0011@example.test,250-555-1011
M0012,Alex012,,Taylor012,112,Harbour,Street,,Victoria,BC,V8V2M6,primary0012@example.test,250-555-1012
M0013,Alex013,,Taylor013,113,Harbour,Street,,Esquimalt,BC,V8V3N9,primary0013@example.test,250-555-1013
M0014,Alex014,,Taylor014,114,Harbour,Street,,Saanich,BC,V8V4O2,primary0014@example.test,250-555-1014
M0015,Alex015,,Taylor015,115,Harbour,Street,7,Langford,BC,V8V5P5,primary0015@example.test,250-555-1015
M0016,Alex016,,Taylor016,116,Harbour,Street,,Victoria,BC,V8V6Q8,primary0016@example.test,250-555-1016
